Album_id,Album,Track,Artist_Track,Number,Goated,Rating,Duration
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,We Are The Ruffest,The Prodigy,25,0,,318813
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Your Love,The Prodigy,26,0,,362666
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Spitfire - Live,The Prodigy,27,0,,251666
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Their Law - Live,The Prodigy,28,0,,331813
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Breathe - Live,The Prodigy,29,0,,399866
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Serial Thrilla - Live,The Prodigy,30,0,,315493
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Firestarter - Live,The Prodigy,31,0,,321280
0bCAjiUamIFqKJsekOYuRw,Wish You Were Here,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1,0,4.5,811077
0bCAjiUamIFqKJsekOYuRw,Wish You Were Here,Welcome to the Machine,Pink Floyd,2,0,3.0,451680
0bCAjiUamIFqKJsekOYuRw,Wish You Were Here,Have a Cigar,Pink Floyd,3,0,3.0,307733
0bCAjiUamIFqKJsekOYuRw,Wish You Were Here,Wish You Were Here,Pink Floyd,4,0,5.0,334743
0bCAjiUamIFqKJsekOYuRw,Wish You Were Here,Shine On You Crazy Diamond (Pts. 6-9),Pink Floyd,5,0,4.5,747325
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Drive,R.E.M.,1,0,,271333
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Try Not To Breathe,R.E.M.,2,0,,230573
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,The Sidewinder Sleeps Tonite,R.E.M.,3,0,,249360
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Everybody Hurts,R.E.M.,4,0,,320266
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,New Orleans Instrumental No. 1,R.E.M.,5,0,,135666
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Sweetness Follows,R.E.M.,6,0,,261573
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Monty Got A Raw Deal,R.E.M.,7,0,,197693
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Ignoreland,R.E.M.,8,0,,267466
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Star Me Kitten,R.E.M.,9,0,,196200
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Man On The Moon,R.E.M.,10,0,,314173
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Nightswimming,R.E.M.,11,0,,258066
0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,Find The River,R.E.M.,12,0,,229733
